rank,name,year,certificate,runtime,genre,rating,story,director,cast,gross
871.,Trumbo,(2015),R,124 min,"
Biography, Drama            ",7.5,"
    In 1947, Dalton Trumbo was Hollywood's top screenwriter, until he and other artists were jailed and blacklisted for their political beliefs.",Jay Roach,"Bryan Cranston, Diane Lane, Helen Mirren, Louis C.K.",$7.86M
872.,Predestination,(I) (2014),R,97 min,"
Action, Adventure, Drama            ",7.5,"
    For his final assignment, a top temporal agent must pursue the one criminal that has eluded him throughout time. The chase turns into a unique, surprising and mind-bending exploration of love, fate, identity and time travel taboos.",Michael Spierig,"Peter Spierig, Ethan Hawke, Sarah Snook, Noah Taylor",$0.07M
873.,How to Train Your Dragon: The Hidden World,(2019),U,104 min,"
Animation, Action, Adventure            ",7.5,"
    When Hiccup discovers Toothless isn't the only Night Fury, he must seek ""The Hidden World"", a secret Dragon Utopia before a hired tyrant named Grimmel finds it first.",Dean DeBlois,"Jay Baruchel, America Ferrera, F. Murray Abraham, Cate Blanchett",$160.80M
874.,Brooklyn,(2015),PG-13,117 min,"
Drama, Romance            ",7.5,"
    An Irish immigrant lands in 1950s Brooklyn, where she quickly falls into a romance with a local. When her past catches up with her, however, she must choose between two countries and the lives that exist within.",John Crowley,"Saoirse Ronan, Emory Cohen, Domhnall Gleeson, Jim Broadbent",$38.32M
875.,Frances Ha,(2012),R,86 min,"
Comedy, Drama, Romance            ",7.5,"
    A New York woman (who doesn't really have an apartment) apprentices for a dance company (though she's not really a dancer) and throws herself headlong into her dreams, even as the possibility of realizing them dwindles.",Noah Baumbach,"Greta Gerwig, Mickey Sumner, Adam Driver, Michael Zegen",$4.06M
876.,Fruitvale Station,(2013),R,85 min,"
Biography, Crime, Drama            ",7.5,"
    The story of Oscar Grant III, a 22-year-old Bay Area resident, who crosses paths with friends, enemies, family, and strangers on the last day of 2008.",Ryan Coogler,"Michael B. Jordan, Melonie Diaz, Octavia Spencer, Kevin Durand",$16.10M
877.,Wadjda,(2012),PG,98 min,"
Comedy, Drama            ",7.5,"
    An enterprising Saudi girl signs on for her school's Koran recitation competition as a way to raise the remaining funds she needs in order to buy the green bicycle that has captured her interest.",Haifaa Al-Mansour,"Waad Mohammed, Reem Abdullah, Abdullrahman Al Gohani, Ahd",$1.35M
878.,Saving Mr. Banks,(2013),U,125 min,"
Biography, Comedy, Drama            ",7.5,"
    Author P.L. Travers reflects on her childhood after reluctantly meeting with Walt Disney, who seeks to adapt her Mary Poppins books for the big screen.",John Lee Hancock,"Emma Thompson, Tom Hanks, Annie Rose Buckley, Colin Farrell",$83.30M
879.,Inside Llewyn Davis,(2013),R,104 min,"
Comedy, Drama, Music            ",7.5,"
    A week in the life of a young singer as he navigates the Greenwich Village folk scene of 1961.",Ethan Coen,"Joel Coen, Oscar Isaac, Carey Mulligan, John Goodman",$13.24M
880.,The Hunger Games: Catching Fire,(2013),UA,146 min,"
Action, Adventure, Mystery            ",7.5,"
    Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.",Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Philip Seymour Hoffman",$424.67M
881.,Rudderless,(2014),R,105 min,"
Comedy, Drama, Music            ",7.5,"
    A grieving father in a downward spiral stumbles across a box of his recently deceased son's demo tapes and lyrics. Shocked by the discovery of this unknown talent, he forms a band in the hope of finding some catharsis.",William H. Macy,"Billy Crudup, Anton Yelchin, Felicity Huffman, Selena Gomez",$0.04M
882.,Ready Player One,(2018),UA,140 min,"
Action, Adventure, Sci-Fi            ",7.5,"
    When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.",Steven Spielberg,"Tye Sheridan, Olivia Cooke, Ben Mendelsohn, Lena Waithe",$137.69M
883.,127 Hours,(2010),A,94 min,"
Biography, Drama            ",7.5,"
    A mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.",Danny Boyle,"James Franco, Amber Tamblyn, Kate Mara, Sean Bott",$18.34M
884.,Sherlock Holmes: A Game of Shadows,(2011),UA,129 min,"
Action, Adventure, Mystery            ",7.5,"
    Detective Sherlock Holmes is on the trail of criminal mastermind Professor Moriarty, who is carrying out a string of random crimes across Europe.",Guy Ritchie,"Robert Downey Jr., Jude Law, Jared Harris, Rachel McAdams",$186.85M
885.,The Conjuring,(2013),A,112 min,"
Horror, Mystery, Thriller            ",7.5,"
    Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.",James Wan,"Patrick Wilson, Vera Farmiga, Ron Livingston, Lili Taylor",$137.40M
886.,Disconnect,(I) (2012),R,115 min,"
Drama, Thriller            ",7.5,"
    A drama centered on a group of people searching for human connections in today's wired world.",Henry Alex Rubin,"Jason Bateman, Jonah Bobo, Haley Ramm, Hope Davis",$7.44M
887.,We Need to Talk About Kevin,(2011),R,112 min,"
Drama, Mystery, Thriller            ",7.5,"
    Kevin's mother struggles to love her strange child, despite the increasingly dangerous things he says and does as he grows up. But Kevin is just getting started, and his final act will be beyond anything anyone imagined.",Lynne Ramsay,"Tilda Swinton, John C. Reilly, Ezra Miller, Jasper Newell",$1.74M
888.,Doctor Strange,(2016),UA,115 min,"
Action, Adventure, Fantasy            ",7.5,"
    While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",Scott Derrickson,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong",$232.64M
889.,Lone Survivor,(2013),A,121 min,"
Action, Biography, Drama            ",7.5,"
    Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare.",Peter Berg,"Mark Wahlberg, Taylor Kitsch, Emile Hirsch, Ben Foster",$125.10M
890.,Bikur Ha-Tizmoret,(2007),PG-13,87 min,"
Comedy, Drama, Music            ",7.5,"
    A band comprised of members of the Egyptian police force head to Israel to play at the inaugural ceremony of an Arab arts center, only to find themselves lost in the wrong town.",Eran Kolirin,"Sasson Gabai, Ronit Elkabetz, Saleh Bakri, Khalifa Natour",$3.05M
891.,Selma,(2014),PG-13,128 min,"
Biography, Drama, History            ",7.5,"
    A chronicle of Dr. Martin Luther King, Jr.'s campaign to secure equal voting rights via an epic march from Selma to Montgomery, Alabama, in 1965.",Ava DuVernay,"David Oyelowo, Carmen Ejogo, Oprah Winfrey, Tom Wilkinson",$52.08M
892.,Milk,(I) (2008),R,128 min,"
Biography, Drama            ",7.5,"
    The story of Harvey Milk and his struggles as an American gay activist who fought for gay rights and became California's first openly gay elected official.",Gus Van Sant,"Sean Penn, Josh Brolin, Emile Hirsch, Diego Luna",$31.84M
893.,Hugo,(2011),U,126 min,"
Drama, Family, Fantasy            ",7.5,"
    In 1931 Paris, an orphan living in the walls of a train station gets wrapped up in a mystery involving his late father and an automaton.",Martin Scorsese,"Asa Butterfield, Chloë Grace Moretz, Christopher Lee, Ben Kingsley",$73.86M
894.,Source Code,(2011),PG-13,93 min,"
Action, Drama, Mystery            ",7.5,"
    A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train within 8 minutes.",Duncan Jones,"Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga, Jeffrey Wright",$54.71M
895.,Doubt,(I) (2008),PG-13,104 min,"
Drama, Mystery            ",7.5,"
    A Catholic school principal questions a priest's ambiguous relationship with a troubled young student.",John Patrick Shanley,"Meryl Streep, Philip Seymour Hoffman, Amy Adams, Viola Davis",$33.42M
896.,The Town,(2010),A,125 min,"
Crime, Drama, Thriller            ",7.5,"
    A longtime thief, planning his next job, tries to balance his feelings for a bank manager connected to an earlier heist, and a hell-bent F.B.I Agent looking to bring him and his crew down.",Ben Affleck,"Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner",$92.19M
897.,"Se, jie",(2007),A,157 min,"
Drama, History, Romance            ",7.5,"
    During World War II era, a young woman, Wang Jiazhi, gets swept up in a dangerous game of emotional intrigue with a powerful political figure, Mr. Yee.",Ang Lee,"Tony Chiu-Wai Leung, Wei Tang, Joan Chen, Leehom Wang",$4.60M
898.,Away from Her,(2006),PG-13,110 min,"
Drama            ",7.5,"
    A man coping with the institutionalization of his wife because of Alzheimer's disease faces an epiphany when she transfers her affections to another man, Aubrey, a wheelchair-bound mute who also is a patient at the nursing home.",Sarah Polley,"Julie Christie, Michael Murphy, Gordon Pinsent, Stacey LaBerge",$4.57M
899.,United 93,(2006),R,111 min,"
Action, Drama, History            ",7.5,"
    A real-time account of the events on United Flight 93, one of the planes hijacked on September 11th, 2001 that crashed near Shanksville, Pennsylvania when passengers foiled the terrorist plot.",Paul Greengrass,"David Alan Basche, Olivia Thirlby, Liza Colón-Zayas, J.J. Johnson",$31.57M
900.,Freedom Writers,(2007),PG-13,123 min,"
Biography, Crime, Drama            ",7.5,"
    A young teacher inspires her class of at-risk students to learn tolerance, apply themselves and pursue education beyond high school.",Richard LaGravenese,"Hilary Swank, Imelda Staunton, Patrick Dempsey, Scott Glenn",$36.61M
901.,Grindhouse,(2007),R,191 min,"
Action, Horror, Thriller            ",7.5,"
    Quentin Tarantino and Robert Rodriguez's homage to exploitation double features in the 60s and 70s with two back-to-back cult films that include previews of coming attractions between them.",Robert Rodriguez,"Eli Roth, Quentin Tarantino, Edgar Wright, Rob Zombie",$25.03M
902.,42,(2013),PG-13,128 min,"
Biography, Drama, Sport            ",7.5,"
    In 1947, Jackie Robinson becomes the first African-American to play in Major League Baseball in the modern era when he was signed by the Brooklyn Dodgers and faces considerable racism in the process.",Brian Helgeland,"Chadwick Boseman, T.R. Knight, Harrison Ford, Nicole Beharie",$95.00M
903.,The Painted Veil,(2006),PG-13,125 min,"
Drama, Romance            ",7.5,"
    A British medical doctor fights a cholera epidemic in a small Chinese village, while being trapped at home in a loveless marriage to an unfaithful wife.",John Curran,"Naomi Watts, Edward Norton, Liev Schreiber, Catherine An",$8.06M
904.,Scott Pilgrim vs. the World,(2010),PG-13,112 min,"
Action, Comedy, Fantasy            ",7.5,"
    Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.",Edgar Wright,"Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Anna Kendrick",$31.49M
905.,The Assassination of Jesse James by the Coward Robert Ford,(2007),R,160 min,"
Biography, Crime, Drama            ",7.5,"
    Robert Ford, who's idolized Jesse James since childhood, tries hard to join the reforming gang of the Missouri outlaw, but gradually becomes resentful of the bandit leader.",Andrew Dominik,"Brad Pitt, Casey Affleck, Sam Shepard, Mary-Louise Parker",$3.90M
906.,Kung Fu Panda,(2008),U,92 min,"
Animation, Action, Adventure            ",7.5,"
    The Dragon Warrior has to clash against the savage Tai Lung as China's fate hangs in the balance. However, the Dragon Warrior mantle is supposedly mistaken to be bestowed upon an obese panda who is a novice in martial arts.",Mark Osborne,"John Stevenson, Jack Black, Ian McShane, Angelina Jolie",$215.43M
907.,The Namesake,(2006),U,122 min,"
Drama            ",7.5,"
    American-born Gogol, the son of Indian immigrants, wants to fit in among his fellow New Yorkers, despite his family's unwillingness to let go of their traditional ways.",Mira Nair,"Kal Penn, Irrfan Khan, Tabu, Jacinda Barrett",$8.66M
908.,The Great Debaters,(2007),PG-13,126 min,"
Biography, Drama, Romance            ",7.5,"
    A drama based on the true story of Melvin B. Tolson, a professor at Wiley College Texas. In 1935, he inspired students to form the school's first debate team, which went on to challenge Harvard in the national championship.",Denzel Washington,"Denzel Washington, Forest Whitaker, Kimberly Elise, Nate Parker",$30.23M
909.,August Rush,(2007),PG,114 min,"
Drama, Music            ",7.5,"
    An orphaned musical prodigy uses his gift to try to find his birth parents.",Kirsten Sheridan,"Freddie Highmore, Keri Russell, Jonathan Rhys Meyers, Terrence Howard",$31.66M
910.,Stranger Than Fiction,(2006),PG-13,113 min,"
Comedy, Drama, Fantasy            ",7.5,"
    I.R.S. auditor Harold Crick suddenly finds himself the subject of narration only he can hear: narration that begins to affect his entire life, from his work, to his love-interest, to his death.",Marc Forster,"Will Ferrell, Emma Thompson, Dustin Hoffman, Queen Latifah",$40.14M
911.,Little Manhattan,(2005),PG,84 min,"
Comedy, Family, Romance            ",7.5,"
    A 10-year-old boy and an 11-year-old girl find love in New York City.",Mark Levin,"Josh Hutcherson, Charlotte Ray Rosenberg, Bradley Whitford, Cynthia Nixon",$0.38M
912.,Munich,(2005),A,164 min,"
Action, Drama, History            ",7.5,"
    Based on the true story of the Black September aftermath, about the five men chosen to eliminate the ones responsible for that fateful day.",Steven Spielberg,"Eric Bana, Daniel Craig, Marie-Josée Croze, Ciarán Hinds",$47.40M
913.,Little Children,(2006),R,137 min,"
Comedy, Drama, Romance            ",7.5,"
    The lives of two lovelorn spouses from separate marriages, a registered sex offender, and a disgraced ex-police officer intersect as they struggle to resist their vulnerabilities and temptations in suburban Massachusetts.",Todd Field,"Kate Winslet, Jennifer Connelly, Patrick Wilson, Jackie Earle Haley",$5.46M
914.,Perfume: The Story of a Murderer,(2006),R,147 min,"
Crime, Drama            ",7.5,"
    Jean-Baptiste Grenouille, born with a superior olfactory sense, creates the world's finest perfume. His work, however, takes a dark turn as he searches for the ultimate scent.",Tom Tykwer,"Ben Whishaw, Dustin Hoffman, Alan Rickman, Francesc Albiol",$2.22M
915.,Hooligans,(2005),R,109 min,"
Crime, Drama, Sport            ",7.5,"
    A wrongfully expelled Harvard undergrad moves to London, where he is introduced to the violent underworld of football hooliganism.",Lexi Alexander,"Elijah Wood, Charlie Hunnam, Claire Forlani, Marc Warren",$0.34M
916.,Sideways,(2004),R,127 min,"
Comedy, Drama, Romance            ",7.5,"
    Two men reaching middle age with not much to show but disappointment embark on a week-long road trip through California's wine country, just as one is about to take a trip down the aisle.",Alexander Payne,"Paul Giamatti, Thomas Haden Church, Virginia Madsen, Sandra Oh",$71.50M
917.,Harry Potter and the Order of the Phoenix,(2007),UA,138 min,"
Action, Adventure, Family            ",7.5,"
    With their warning about Lord Voldemort's (Ralph Fiennes') return scoffed at, Harry (Daniel Radcliffe) and Dumbledore (Sir Michael Gambon) are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Brendan Gleeson",$292.00M
918.,Kiss Kiss Bang Bang,(2005),R,103 min,"
Action, Comedy, Crime            ",7.5,"
    A murder mystery brings together a private eye, a struggling actress, and a thief masquerading as an actor.",Shane Black,"Robert Downey Jr., Val Kilmer, Michelle Monaghan, Corbin Bernsen",$4.24M
919.,Collateral,(2004),A,120 min,"
Crime, Drama, Thriller            ",7.5,"
    A cab driver finds himself the hostage of an engaging contract killer as he makes his rounds from hit to hit during one night in Los Angeles.",Michael Mann,"Tom Cruise, Jamie Foxx, Jada Pinkett Smith, Mark Ruffalo",$101.01M
920.,Miracle,(2004),PG,135 min,"
Biography, Drama, History            ",7.5,"
    The true story of Herb Brooks, the player-turned-coach who led the 1980 U.S. Olympic hockey team to victory over the seemingly invincible Soviet squad.",Gavin O'Connor,"Kurt Russell, Patricia Clarkson, Nathan West, Noah Emmerich",$64.38M
921.,The Aviator,(2004),UA,170 min,"
Biography, Drama            ",7.5,"
    A biopic depicting the early years of legendary Director and aviator Howard Hughes' career from the late 1920s to the mid 1940s.",Martin Scorsese,"Leonardo DiCaprio, Cate Blanchett, Kate Beckinsale, John C. Reilly",$102.61M
922.,Secondhand Lions,(2003),PG,111 min,"
Comedy, Drama, Family            ",7.5,"
    A coming-of-age story about a shy, young boy sent by his irresponsible mother to spend the summer with his wealthy, eccentric uncles in Texas.",Tim McCanlies,"Haley Joel Osment, Michael Caine, Robert Duvall, Kyra Sedgwick",$41.41M
923.,House of Sand and Fog,(2003),R,126 min,"
Crime, Drama            ",7.5,"
    An abandoned wife is evicted from her house and starts a tragic conflict with her house's new owners.",Vadim Perelman,"Jennifer Connelly, Ben Kingsley, Ron Eldard, Frances Fisher",$13.01M
924.,The Hours,(2002),PG-13,110 min,"
Drama, Romance            ",7.5,"
    The story of how the novel ""Mrs. Dalloway"" affects three generations of women, all of whom, in one way or another, have had to deal with suicide in their lives.",Stephen Daldry,"Meryl Streep, Nicole Kidman, Julianne Moore, Stephen Dillane",$41.68M
925.,Ice Age,(2002),U,81 min,"
Animation, Adventure, Comedy            ",7.5,"
    Set during the Ice Age, a sabertooth tiger, a sloth, and a wooly mammoth find a lost human infant, and they try to return him to his tribe.",Chris Wedge,"Carlos Saldanha, Denis Leary, John Leguizamo, Ray Romano",$176.39M
926.,Life as a House,(2001),UA,125 min,"
Drama            ",7.5,"
    When a man is diagnosed with terminal cancer, he takes custody of his misanthropic teenage son, for whom quality time means getting high, engaging in small-time prostitution, and avoiding his father.",Irwin Winkler,"Hayden Christensen, Kevin Kline, Kristin Scott Thomas, Jena Malone",$15.65M
927.,The Man Who Wasn't There,(2001),R,116 min,"
Crime, Drama            ",7.5,"
    A laconic, chain-smoking barber blackmails his wife's boss and lover for money to invest in dry cleaning, but his plan goes terribly wrong.",Joel Coen,"Ethan Coen, Billy Bob Thornton, Frances McDormand, Michael Badalucco",$7.49M
928.,Gangs of New York,(2002),A,167 min,"
Crime, Drama            ",7.5,"
    In 1862, Amsterdam Vallon returns to the Five Points area of New York City seeking revenge against Bill the Butcher, his father's killer.",Martin Scorsese,"Leonardo DiCaprio, Cameron Diaz, Daniel Day-Lewis, Jim Broadbent",$77.81M
929.,Malèna,(2000),UA,108 min,"
Comedy, Drama, Romance            ",7.5,"
    Amidst the war climate, a teenage boy discovering himself becomes love-stricken by Malèna, a sensual woman living in a small, narrow-minded Italian town.",Giuseppe Tornatore,"Monica Bellucci, Giuseppe Sulfaro, Luciano Federico, Matilde Piana",$3.43M
930.,You Can Count on Me,(2000),R,111 min,"
Drama            ",7.5,"
    A single mother's life is thrown into turmoil after her struggling, rarely seen younger brother returns to town.",Kenneth Lonergan,"Laura Linney, Matthew Broderick, Amy Ryan, Michael Countryman",$9.18M
931.,Boys Don't Cry,(1999),R,118 min,"
Biography, Crime, Drama            ",7.5,"
    A young man named Brandon Teena navigates love, life, and being transgender in rural Nebraska.",Kimberly Peirce,"Hilary Swank, Chloë Sevigny, Peter Sarsgaard, Brendan Sexton III",$11.53M
932.,Ghost Dog: The Way of the Samurai,(1999),R,116 min,"
Action, Crime, Drama            ",7.5,"
    An African-American Mafia hit man who models himself after the samurai of old finds himself targeted for death by the mob.",Jim Jarmusch,"Forest Whitaker, Henry Silva, John Tormey, Cliff Gorman",$3.31M
933.,High Fidelity,(2000),R,113 min,"
Comedy, Drama, Music            ",7.5,"
    Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress.",Stephen Frears,"John Cusack, Iben Hjejle, Todd Louiso, Jack Black",$27.28M
934.,Sunshine,(1999),R,181 min,"
Drama, History, Romance            ",7.5,"
    The fate of a Hungarian Jewish family throughout the 20th century.",István Szabó,"Ralph Fiennes, Rosemary Harris, Rachel Weisz, Jennifer Ehle",$5.10M
935.,SLC Punk!,(1998),R,97 min,"
Comedy, Drama, Music            ",7.5,"
    In the early 1980s Stevo and Heroin Bob are the only two dedicated punks in conservative Salt Lake City.",James Merendino,"Matthew Lillard, Michael A. Goorjian, Annabeth Gish, Jennifer Lien",$0.30M
936.,Star Wars: Episode III - Revenge of the Sith,(2005),UA,140 min,"
Action, Adventure, Fantasy            ",7.5,"
    Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.",George Lucas,"Hayden Christensen, Natalie Portman, Ewan McGregor, Samuel L. Jackson",$380.26M
937.,Pleasantville,(1998),U,124 min,"
Comedy, Drama, Fantasy            ",7.5,"
    Two 1990s teenage siblings find themselves in a 1950s sitcom, where their influence begins to profoundly change that complacent world.",Gary Ross,"Tobey Maguire, Jeff Daniels, Joan Allen, William H. Macy",$40.57M
938.,A Simple Plan,(1998),R,121 min,"
Crime, Drama, Thriller            ",7.5,"
    Three blue-collar acquaintances come across millions of dollars in lost cash and make a plan to keep their find from the authorities, but it isn't long before complications and mistrust weave their way into the plan.",Sam Raimi,"Bill Paxton, Billy Bob Thornton, Bridget Fonda, Brent Briscoe",$16.31M
939.,Les Misérables,(1998),PG-13,134 min,"
Crime, Drama, History            ",7.5,"
    Valjean, a former criminal, has atoned for his past and now finds himself in the midst of the French Revolution, avoiding a law-obsessed policeman hell-bent on capturing him.",Bille August,"Liam Neeson, Geoffrey Rush, Uma Thurman, Christopher Adamson",$14.10M
940.,Jackie Brown,(1997),15+,154 min,"
Crime, Drama, Thriller            ",7.5,"
    A middle-aged woman finds herself in the middle of a huge conflict that will either make her a profit or cost her life.",Quentin Tarantino,"Pam Grier, Samuel L. Jackson, Robert Forster, Bridget Fonda",$39.67M
941.,The Devil's Advocate,(1997),A,144 min,"
Drama, Mystery, Thriller            ",7.5,"
    An exceptionally adept Florida lawyer is offered a job at a high-end New York City law firm with a high-end boss - the biggest opportunity of his career to date.",Taylor Hackford,"Keanu Reeves, Al Pacino, Charlize Theron, Jeffrey Jones",$60.98M
942.,Buffalo '66,(1998),R,110 min,"
Comedy, Drama, Romance            ",7.5,"
    After being released from prison, Billy is set to visit his parents with his wife, whom he does not actually have. This provokes Billy to act out, as he kidnaps a girl and forces her to act as his wife for the visit.",Vincent Gallo,"Vincent Gallo, Christina Ricci, Ben Gazzara, Mickey Rourke",$2.38M
943.,Waiting for Guffman,(1996),R,84 min,"
Comedy            ",7.5,"
    An aspiring director and the marginally talented amateur cast of a hokey small-town Missouri musical production go overboard when they learn that someone from Broadway will be in attendance.",Christopher Guest,"Christopher Guest, Fred Willard, Catherine O'Hara, Parker Posey",$2.92M
944.,A Time to Kill,(1996),R,149 min,"
Crime, Drama, Thriller            ",7.5,"
    In Canton, Mississippi, a fearless young lawyer and his assistant defend a black man accused of murdering two white men who raped his ten-year-old daughter, inciting violent retribution and revenge from the Ku Klux Klan.",Joel Schumacher,"Matthew McConaughey, Sandra Bullock, Samuel L. Jackson, Kevin Spacey",$108.77M
945.,Living in Oblivion,(1995),R,90 min,"
Comedy, Drama            ",7.5,"
    This ultimate tribute to all independent filmmakers takes place during one day on the set of a non-budget movie.",Tom DiCillo,"Steve Buscemi, Catherine Keener, Dermot Mulroney, Danielle von Zerneck",$1.15M
946.,Leaving Las Vegas,(1995),R,111 min,"
Drama, Romance            ",7.5,"
    Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",Mike Figgis,"Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis",$31.97M
947.,Dead Man Walking,(1995),UA,122 min,"
Crime, Drama            ",7.5,"
    A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",Tim Robbins,"Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry",$39.39M
948.,La cité des enfants perdus,(1995),R,112 min,"
Fantasy, Sci-Fi            ",7.5,"
    A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",Marc Caro,"Jean-Pierre Jeunet, Ron Perlman, Daniel Emilfork, Judith Vittet",$1.51M
949.,Quiz Show,(1994),U,133 min,"
Biography, Drama, History            ",7.5,"
    A young lawyer, Richard Goodwin, investigates a potentially fixed game show. Charles Van Doren, a big time show winner, is under Goodwin's investigation.",Robert Redford,"Ralph Fiennes, John Turturro, Rob Morrow, Paul Scofield",$24.82M
950.,Interview with the Vampire: The Vampire Chronicles,(1994),R,123 min,"
Drama, Horror            ",7.5,"
    A vampire tells his epic life story: love, betrayal, loneliness, and hunger.",Neil Jordan,"Brad Pitt, Tom Cruise, Antonio Banderas, Kirsten Dunst",$105.26M
951.,Rudy,(1993),PG,114 min,"
Biography, Drama, Sport            ",7.5,"
    Rudy has always been told that he was too small to play college football. But he is determined to overcome the odds and fulfill his dream of playing for Notre Dame.",David Anspaugh,"Sean Astin, Jon Favreau, Ned Beatty, Greta Lind",$22.75M
952.,Menace II Society,(1993),R,97 min,"
Crime, Drama, Thriller            ",7.5,"
    A young street hustler attempts to escape the rigors and temptations of the ghetto in a quest for a better life.",Albert Hughes,"Allen Hughes, Tyrin Turner, Larenz Tate, June Kyoto Lu",$27.90M
953.,Army of Darkness,(1992),A,81 min,"
Comedy, Fantasy, Horror            ",7.5,"
    A sardonic hardware store clerk is accidentally transported to 1300 A.D., where he must retrieve the Necronomicon and battle an army of the dead so he can return home.",Sam Raimi,"Bruce Campbell, Embeth Davidtz, Marcus Gilbert, Ian Abercrombie",$11.50M
954.,The Player,(1992),R,124 min,"
Comedy, Crime, Drama            ",7.5,"
    A Hollywood studio executive is being sent death threats by a writer whose script he rejected, but which one?",Robert Altman,"Tim Robbins, Greta Scacchi, Fred Ward, Whoopi Goldberg",$21.71M
955.,Of Mice and Men,(1992),PG-13,115 min,"
Drama, Western            ",7.5,"
    Two drifters, one a gentle but slow giant, try to make money working the fields during the Depression so they can fulfill their dreams.",Gary Sinise,"John Malkovich, Gary Sinise, Ray Walston, Casey Siemaszko",$5.10M
956.,Husbands and Wives,(1992),R,108 min,"
Comedy, Drama, Romance            ",7.5,"
    When their best friends announce that they're separating, a professor and his wife discover the faults in their own marriage.",Woody Allen,"Woody Allen, Mia Farrow, Sydney Pollack, Judy Davis",$10.56M
957.,Thelma & Louise,(1991),UA,130 min,"
Adventure, Crime, Drama            ",7.5,"
    Two best friends set out on an adventure, but it soon turns around to a terrifying escape from being hunted by the police, as these two girls escape for the crimes they committed.",Ridley Scott,"Susan Sarandon, Geena Davis, Harvey Keitel, Michael Madsen",$45.36M
958.,The Fisher King,(1991),R,137 min,"
Comedy, Drama, Fantasy            ",7.5,"
    A former radio DJ, suicidally despondent because of a terrible mistake he made, finds redemption in helping a deranged homeless man who was an unwitting victim of that mistake.",Terry Gilliam,"Jeff Bridges, Robin Williams, Adam Bryant, Paul Lombardi",$41.90M
959.,Total Recall,(1990),A,113 min,"
Action, Sci-Fi, Thriller            ",7.5,"
    When a man goes for virtual vacation memories of the planet Mars, an unexpected and harrowing series of events forces him to go to the planet for real - or is he?",Paul Verhoeven,"Arnold Schwarzenegger, Sharon Stone, Michael Ironside, Rachel Ticotin",$119.39M
960.,Rosencrantz & Guildenstern Are Dead,(1990),117 min,117 min,"
Comedy, Drama            ",7.5,"
    Two minor characters from the play 'Hamlet' stumble around unaware of their scripted lives and unable to deviate from them.",Tom Stoppard,"Gary Oldman, Tim Roth, Richard Dreyfuss, Livio Badurina",$0.74M
961.,Jacob's Ladder,(I) (1990),113 min,113 min,"
Drama, Horror, Mystery            ",7.5,"
    Mourning his dead child, a haunted Vietnam War veteran attempts to uncover his past while suffering from a severe case of dissociation. To do so, he must decipher reality and life from his own dreams, delusions, and perceptions of death.",Adrian Lyne,"Tim Robbins, Elizabeth Peña, Danny Aiello, Matt Craven",$26.12M
962.,Field of Dreams,(1989),107 min,107 min,"
Drama, Family, Fantasy            ",7.5,"
    An Iowa corn farmer, hearing voices, interprets them as a command to build a baseball diamond in his fields; he does, and the 1919 Chicago White Sox come.",Phil Alden Robinson,"Kevin Costner, James Earl Jones, Ray Liotta, Amy Madigan",$64.43M
963.,Batman,(1989),U,126 min,"
Action, Adventure            ",7.5,"
    The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.",Tim Burton,"Michael Keaton, Jack Nicholson, Kim Basinger, Robert Wuhl",$251.19M
